name,lat,lng
wc 120,47.45894,19.0155199
wc 121,47.4716729,19.0452608
wc 122,47.4615083,19.0404997
wc 123,47.4957869,19.0663702
wc 124,47.4630645,19.0272795
wc 125,47.4461461,18.9992211
wc 126,47.4579791,19.0318181
wc 127,47.4673199,19.0351549
wc 128,47.4492743,19.036592
wc 129,47.462698,19.0169466
wc 130,47.441671,19.0379761
wc 131,47.4417965,19.0354515
wc 132,47.4549372,19.0385923
wc 133,47.4409061,19.0422951
wc 134,47.4429692,19.0410632
wc 135,47.5000728,19.0367732
wc 136,47.4170596,19.1202387
wc 137,47.5424495,19.0407192
wc 138,47.5114473,19.0781043
wc 139,47.4958839,19.0379743
wc 140,47.4116519,19.1602047
wc 141,47.4808073,19.1470693
wc 142,47.555889,19.0799389
wc 143,47.5044463,19.1169461
wc 144,47.4931642,19.076403
wc 145,47.4962689,19.0379132
wc 146,47.5204114,18.9997942
wc 147,47.4360643,19.1773768
wc 148,47.4334221,19.2574823
wc 149,47.5742519,19.0651704
wc 150,47.4995786,19.0510962
wc 151,47.5613863,19.089132
wc 152,47.4892398,19.0757584
wc 153,47.487539,19.0838195
wc 154,47.5572117,18.9973171
wc 155,47.4814402,19.0901111
wc 156,47.4985935,19.0500845
wc 157,47.4518685,19.0374349
wc 158,47.6041757,19.0721903
wc 159,47.5119013,19.0997045
wc 160,47.4636293,19.1688678
wc 161,47.5186168,19.0616402
wc 162,47.4937802,19.083276
wc 163,47.4623502,19.0713976
wc 164,47.5406419,19.0748088
wc 165,47.5434486,19.0388257
wc 166,47.4936034,19.0503175
wc 167,47.4957895,19.0663638
wc 168,47.5003104,19.0543717
wc 169,47.4978125,19.0397781
wc 170,47.4989129,19.0375153
wc 171,47.4972469,19.0384926
wc 172,47.4985903,19.0355414
wc 173,47.4654087,19.1269844
wc 174,47.5006281,19.0250758
wc 175,47.4860932,19.0594866
wc 176,47.4559332,19.1253673
wc 177,47.4547543,19.1825211
wc 178,47.4351506,19.0422841
wc 179,47.5038367,19.0505435
wc 180,47.5185058,19.0513933
wc 181,47.4776729,19.0472531
wc 182,47.4396288,19.0441958
wc 183,47.4412207,19.0460694
wc 184,47.4369075,19.0418999
wc 185,47.4359187,19.0401741
wc 186,47.50071,19.1071075
wc 187,47.4968104,19.0329973
wc 188,47.4075461,19.0178414
wc 189,47.5155537,19.1692842
wc 190,47.4735264,19.0598477
wc 191,47.4732273,19.0598477
wc 192,47.5376555,18.9661473
wc 193,47.5099534,19.2044842
wc 194,47.5131609,19.2034229
wc 195,47.5134318,19.2009652
wc 196,47.4756058,19.0989389
wc 197,47.4860094,19.0702976
wc 198,47.4971231,19.0552888
wc 199,47.503843,19.1369271
wc 200,47.5054278,19.0281591
wc 201,47.5072789,19.0719318
wc 202,47.5216907,19.0244529
wc 203,47.5246484,19.0631895
wc 204,47.5300298,19.0507996
wc 205,47.5327388,19.0665389
wc 206,47.4938946,18.9771378
wc 207,47.5262932,19.0503515
wc 208,47.5157505,18.960418
wc 209,47.5282797,18.9555449
wc 210,47.4920415,19.0802218
wc 211,47.5735191,19.043788
wc 212,47.4833024,19.0049561
wc 213,47.4656757,19.0295712
wc 214,47.5017611,19.1360393
wc 215,47.4720687,19.1793246
wc 216,47.5520931,19.1349858
wc 217,47.4933906,19.1282165
wc 218,47.4939561,19.1256791
wc 219,47.5054869,19.0672028
wc 220,47.462163,19.0228343
wc 221,47.4840128,19.0852599
wc 222,47.4979241,19.0538386
wc 223,47.5352613,18.9617803
wc 224,47.5650394,18.9802028
wc 225,47.5289275,19.193624
wc 226,47.4954308,19.0421544
wc 227,47.3974768,19.1069762
wc 228,47.459866,19.051305
wc 229,47.5107838,19.0555998
wc 230,47.4683376,19.1644979
wc 231,47.4847701,19.129919
wc 232,47.469484,19.1514899
wc 233,47.4685678,19.1513255
wc 234,47.4688579,19.1509282
wc 235,47.4693359,19.1497671
wc 236,47.469383,19.1524963
wc 237,47.469669,19.1519038
wc 238,47.5197797,19.1332426
wc 239,47.4946121,19.0948033
wc 240,47.4960013,19.084216
wc 241,47.5148151,19.0392527
wc 242,47.4063192,19.189083
wc 243,47.5111619,19.0579228
wc 244,47.4378726,19.2230669
wc 245,47.4626559,19.1473711
wc 246,47.4667829,19.0061638
wc 247,47.466744,19.0063192
wc 248,47.4609273,19.0494746
wc 249,47.4603714,19.0483327
wc 250,47.4604019,19.048341
wc 251,47.4604019,19.0484256
wc 252,47.5276415,19.0474984
wc 253,47.4870595,19.0456893
wc 254,47.496833,19.0388936
wc 255,47.4965095,19.0393589
wc 256,47.4957103,19.0403554
wc 257,47.496746,19.0382646
wc 258,47.4969299,19.0381493
wc 259,47.4967786,19.0382794
wc 260,47.4963736,19.039536
wc 261,47.4688589,19.022647
wc 262,47.5726416,19.1110718
wc 263,47.4871962,19.0585495
wc 264,47.5071993,19.0237682
wc 265,47.5226146,19.0148849
wc 266,47.5290464,19.0056929
wc 267,47.5290425,19.0056839
wc 268,47.4334099,19.261472
wc 269,47.4318743,19.2603772
wc 270,47.4742511,19.0108343
wc 271,47.4945819,19.0858586
wc 272,47.4972113,19.0385288
wc 273,47.4367197,19.1023556
wc 274,47.4983246,19.0520386
wc 275,47.5081313,19.0461242
wc 276,47.4646262,19.032117
wc 277,47.4328335,19.2584444
wc 278,47.4335235,19.2629764
wc 279,47.5039746,19.137878
wc 280,47.5494659,19.0723206
wc 281,47.474691,19.0477434
wc 282,47.4352104,19.2637725
wc 283,47.478819,19.0672362
wc 284,47.5473343,18.9395062
wc 285,47.4180209,19.1617461
wc 286,47.4261357,19.0383156
wc 287,47.4261307,19.0380668
